iter	Passed	Remaining
930	1936	143
931	1938	141
932	1939	139
933	1942	137
934	1945	135
935	1947	133
936	1961	131
937	1963	129
938	1966	127
939	1968	125
940	1970	123
941	1973	121
942	1975	119
943	1977	117
944	1979	115
945	1981	113
946	1983	110
947	1985	108
948	1988	106
949	1992	104
950	1995	102
951	1998	100
952	2001	98
953	2007	96
954	2009	94
955	2011	92
956	2013	90
957	2015	88
958	2018	86
959	2019	84
960	2021	82
961	2023	79
962	2024	77
963	2027	75
964	2029	73
965	2031	71
966	2033	69
967	2035	67
968	2042	65
969	2045	63
970	2047	61
971	2050	59
972	2052	56
973	2054	54
974	2057	52
975	2058	50
976	2060	48
977	2062	46
978	2063	44
979	2067	42
980	2069	40
981	2072	37
982	2074	35
983	2079	33
984	2082	31
985	2086	29
986	2089	27
987	2091	25
988	2095	23
989	2097	21
990	2099	19
991	2100	16
992	2102	14
993	2104	12
994	2107	10
995	2110	8
996	2115	6
997	2119	4
998	2121	2
999	2124	0
